"SampleID","frac"
"G-F2-W-1",0.0838017373530915
"G-F2-W-2",0.0944658944658945
"G-F2-W-3",0.0864389233954451
"G-F2-A-1",0.111398294132851
"G-F2-A-2",0.088883062401678
"G-F2-A-3",0.100508905852417
"G-F2-1-1",0.0825713494042671
"G-F2-1-2",0.0966929133858268
"G-F2-1-3",0.116157205240175
"G-F2-100-1",0.0700507614213198
"G-F2-100-2",0.112907572082996
"G-F2-100-3",0.0894039735099338
"G-F2-200-1",0.121419410004275
"G-F2-200-2",0.0975806451612903
"G-F2-200-3",0.178457059679767
"G-F6-W-1",0.118871151653364
"G-F6-W-2",0.0763836714249937
"G-F6-W-3",0.122941822173436
"G-F6-A-1",0.0932069510268562
"G-F6-A-2",0.175551470588235
"G-F6-A-3",0.14058275758486
"G-F6-1-1",0.177156892846177
"G-F6-1-2",0.12116912599319
"G-F6-1-3",0.131444759206799
"G-F6-100-1",0.142773722627737
"G-F6-100-2",0.124406175771971
"G-F6-100-3",0.150448356027898
"G-F6-200-1",0.0497704759603769
"G-F6-200-2",0.0913526701002982
"G-F6-200-3",0.0511117528154779
"G-F10-W-1",0.0354950627168401
"G-F10-W-2",0.0325581395348837
"G-F10-W-3",0.0315151515151515
"G-F10-A-1",0.0257879656160458
"G-F10-A-2",0.025
"G-F10-A-3",0.0315370483772198
"G-F10-1-1",0.0252747252747253
"G-F10-1-2",0.020822880080281
"G-F10-1-3",0.0381208053691275
"G-F10-100-1",0.0285714285714286
"G-F10-100-2",0.0471771075019335
"G-F10-100-3",0.04203013481364
"G-G2-W-1",0.209416195856874
"G-G2-W-2",0.251096054204862
"G-G2-W-3",0.20044960659423
"G-G2-A-1",0.237188872620791
"G-G2-A-2",0.192471866511447
"G-G2-A-3",0.228905934598304
"G-G2-1-1",0.193843031123139
"G-G2-1-2",0.223300970873786
"G-G2-1-3",0.223524305555556
"G-G2-100-1",0.318738229755179
"G-G2-100-2",0.128523795089421
"G-G2-100-3",0.123045744064852
"G-G2-200-1",0.244164619164619
"G-G2-200-2",0.103960396039604
"G-G2-200-3",0.150036954915004
"G-G6-W-1",0.219639139486468
"G-G6-W-2",0.190600522193211
"G-G6-W-3",0.18160613128957
"G-G6-A-1",0.20513698630137
"G-G6-A-2",0.117647058823529
"G-G6-A-3",0.234740146494594
"G-G6-1-1",0.211282410651717
"G-G6-1-2",0.203451709259874
"G-G6-1-3",0.162316995544239
"G-G6-100-1",0.199313786650031
"G-G6-100-2",0.153639618138425
"G-G6-100-3",0.182450832072617
"G-G6-200-1",0.0591341077085533
"G-G6-200-2",0.0522219432588501
"G-G6-200-3",0.115923236514523
"G-G10-W-1",0.0267749699157641
"G-G10-W-2",0.0256880733944954
"G-G10-W-3",0.00478796169630643
"G-G10-A-1",0.0229598893499308
"G-G10-A-2",0.0132916340891321
"G-G10-A-3",0.0233026467203682
"G-G10-1-1",0.0250347705146036
"G-G10-1-2",0.0208214489446663
"G-G10-1-3",0.0208223510806537
"G-G10-100-1",0.0157333333333333
"G-G10-100-2",0.0448042168674699
"G-G10-100-3",0.0198265179677819
"G-G10-200-2",0.0174547762615043
"G-G10-200-3",0.0166134185303514
"S-W-293-1",0.00479616306954436
"S-W-293-2",0.00939368061485909
"S-W-293-3",0.00770891150169596
"S-W-104-1",0.00276570525483998
"S-W-104-2",0.00316122233930453
"S-W-104-3",0.00743218134522482
"S-B-104-1",0.00238663484486874
"S-B-104-2",0.00525677315002022
"S-B-104-3",0.00292825768667643
"S-D-104-1",0.00110294117647059
"S-D-104-2",0.003690036900369
"S-D-104-3",0.0031634446397188
"S-C-104-1",0.00758325090669304
"S-C-104-2",0.0133053221288515
"S-C-104-3",0.00247175141242938
"S-W-175-1",0.00716750730023892
"S-W-175-2",0.00588707519400589
"S-W-175-3",0.0198657718120805
"S-W-305-1",0.00364554122265844
"S-W-305-2",0.00310318076027929
"S-W-305-3",0.00279898218829517
"S-B-305-1",0.0023709167544784
"S-B-305-2",0.00540865384615385
"S-B-305-3",0.00184259015530403
"S-D-305-1",0.00792566274938508
"S-D-305-2",0.00195258019525802
"S-D-305-3",0.00201787258575958
"S-C-305-1",0.00206664944458796
"S-C-305-2",0.00262605042016807
"S-C-305-3",0.00260213374967473
